1 7 5 6
2 7 6 2
3 7 8 2
4 12 5 3
5 12 4 3
6 19 9 10
7 19 3 8
8 47 1 3
9 47 5 9
10 47 7 6
11 47 1 10
12 66 10 9
13 66 5 1
14 66 8 7
15 66 4 7
16 66 2 6
17 66 5 3
18 109 3 6
19 109 1 10
20 115 1 2
21 115 7 5
22 115 1 7
23 116 10 9
24 116 5 2
25 116 5 4
26 116 10 9
27 116 9 1
28 116 9 8
29 116 8 9
30 116 4 9
31 116 4 8
32 117 8 4
33 125 9 5
34 133 9 1
35 133 7 9
36 133 2 10
37 133 9 10
38 133 8 3
39 133 3 9
40 133 3 9
41 133 10 1
42 133 8 9
43 138 5 3
44 138 6 9
45 138 7 3
46 143 7 2
47 143 9 3
48 146 10 6
49 146 3 1
50 146 1 4
51 149 10 6
52 149 4 3
53 164 3 6
54 164 6 5
55 164 10 2
56 164 3 6
57 164 1 9
58 164 4 10
59 164 4 10
60 164 7 8
61 186 3 9
62 186 3 6
63 186 4 7
64 186 2 9
65 195 4 7
